TimeStamp,CpuUsage,CpuTemp,IrTemp,CpuPkgPower,CpuPL1,ThermalThrottling
2023-08-24_15-51-37-110,56.56601,37,30,12.68975079,55,0
2023-08-24_15-51-38-438,0.2135795,37,30,12.68975079,55,0
2023-08-24_15-51-39-453,0,35,30,9.303330861,55,0
2023-08-24_15-51-40-471,0.003115143,35,30,10.69294402,55,0
2023-08-24_15-51-41-494,2.094803,33,30,11.45127825,55,0
2023-08-24_15-51-42-515,0,36,30,10.53703495,55,0
2023-08-24_15-51-43-528,1.805557,34,30,11.61115363,55,0
2023-08-24_15-51-44-549,0.1216431,33,30,18.20736468,55,0
2023-08-24_15-51-45-567,1.013193,32,30,11.45069748,55,0
2023-08-24_15-51-46-586,0.2472124,33,30,10.70101214,55,0
2023-08-24_15-51-47-603,1.312748,32,30,10.9877389,55,0
2023-08-24_15-51-48-619,0.6162632,32,30,10.40153981,55,0
2023-08-24_15-51-49-640,0.07604661,31,30,11.85284146,55,0
2023-08-24_15-51-50-655,1.528951,32,30,12.86387897,55,0
2023-08-24_15-51-51-680,2.432818,32,30,13.44089395,55,0
2023-08-24_15-51-52-698,2.9016,35,30,14.82489359,55,0
2023-08-24_15-51-53-717,1.250059,35,30,14.82489359,55,0
2023-08-24_15-51-54-741,0.3226415,34,30,18.87655074,55,0
2023-08-24_15-51-55-759,0.9017627,31,30,10.56401971,55,0
2023-08-24_15-51-56-778,0.214559,32,30,11.5353251,55,0
2023-08-24_15-51-57-794,0,31,30,10.17532368,55,0
2023-08-24_15-51-58-818,1.432129,31,29,11.13125987,55,0
2023-08-24_15-51-59-835,0.1579414,32,29,11.18956868,55,0
2023-08-24_15-52-00-851,0.6448661,32,29,10.42018111,55,0
2023-08-24_15-52-01-867,0.5906875,32,29,11.73244434,55,0
2023-08-24_15-52-02-883,0,32,29,11.32146138,55,0
2023-08-24_15-52-03-900,1.483064,31,29,13.63226277,55,0
2023-08-24_15-52-04-913,1.14563,31,29,18.4339882,55,0
2023-08-24_15-52-05-932,0.01601502,32,29,11.1653219,55,0
2023-08-24_15-52-06-946,0.7943186,32,29,11.61195107,55,0
2023-08-24_15-52-07-965,0.9827693,32,29,11.61195107,55,0
2023-08-24_15-52-08-987,0.5375599,32,29,10.38659028,55,0
2023-08-24_15-52-10-006,0.5804686,32,29,10.61893195,55,0
2023-08-24_15-52-11-023,0.3379578,31,29,10.55279634,55,0
2023-08-24_15-52-12-039,0.68415,31,29,9.908714962,55,0
2023-08-24_15-52-13-062,0.4897095,32,29,11.05688921,55,0
2023-08-24_15-52-14-079,0,31,29,12.35220307,55,0
2023-08-24_15-52-15-097,0.9599338,31,29,17.56810052,55,0
2023-08-24_15-52-16-111,0.3323385,32,29,10.20166612,55,0
2023-08-24_15-52-17-125,1.532408,31,29,10.41710906,55,0
2023-08-24_15-52-18-143,1.08239,31,29,14.2924012,55,0
2023-08-24_15-52-19-158,0.1839022,31,28,11.73950826,55,0
2023-08-24_15-52-20-178,1.621007,31,28,9.887944665,55,0
2023-08-24_15-52-21-193,0,31,28,10.75153607,55,0
2023-08-24_15-52-22-209,0,31,28,11.90276019,55,0
2023-08-24_15-52-23-230,1.70422,31,28,10.55110473,55,0
2023-08-24_15-52-24-247,0.2814272,31,28,10.55110473,55,0
2023-08-24_15-52-25-267,1.310532,31,28,14.58042362,55,0
2023-08-24_15-52-26-285,0.8343242,42,28,18.3500196,55,0
2023-08-24_15-52-27-306,0,31,28,10.57994621,55,0
2023-08-24_15-52-28-326,1.359255,32,28,12.2353532,55,0
2023-08-24_15-52-29-344,0,33,28,14.82517227,55,0
2023-08-24_15-52-30-359,0.5999966,32,28,10.9718641,55,0
2023-08-24_15-52-31-379,0.8171951,31,28,11.84933915,55,0
2023-08-24_15-52-32-403,0.94619,31,28,11.59399916,55,0
2023-08-24_15-52-33-422,0,32,28,11.81913544,55,0
2023-08-24_15-52-34-435,0.9878367,32,28,11.19203066,55,0
2023-08-24_15-52-35-456,0,31,28,17.63956864,55,0
2023-08-24_15-52-36-473,1.749883,31,28,11.42712419,55,0
2023-08-24_15-52-37-491,0.7941356,31,28,12.09667403,55,0
2023-08-24_15-52-38-509,0.5097665,31,28,10.85088694,55,0
2023-08-24_15-52-39-531,0.1700427,31,28,10.95112832,55,0
2023-08-24_15-52-40-554,0.6152553,31,28,10.44740163,55,0
2023-08-24_15-52-41-575,1.344217,31,28,10.44740163,55,0
2023-08-24_15-52-42-591,0,31,28,11.73912253,55,0
2023-08-24_15-52-43-610,2.457517,31,28,12.25160938,55,0
2023-08-24_15-52-44-624,1.693066,31,28,18.73898569,55,0
2023-08-24_15-52-45-647,1.476857,35,28,22.69596369,55,0
2023-08-24_15-52-46-667,0.2521882,32,28,12.93074335,55,0
2023-08-24_15-52-47-685,1.097905,32,28,16.58178242,55,0
2023-08-24_15-52-48-706,0.8730851,35,28,12.26897034,55,0
2023-08-24_15-52-49-730,0.1777364,31,28,10.15253338,55,0
2023-08-24_15-52-50-751,0.1417096,32,28,11.12092294,55,0
2023-08-24_15-52-51-768,0.7289367,32,28,11.85821872,55,0
